provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
AL,2020-02-16,0,0,4,0
AL,2020-02-17,0,0,4,0
AL,2020-02-18,0,0,4,0
AL,2020-02-19,0,0,4,0
AL,2020-02-20,0,0,4,0
AL,2020-02-21,0,0,4,0
AL,2020-02-22,0,0,4,0
AL,2020-02-23,0,0,4,0
AL,2020-02-24,0,0,4,0
AL,2020-02-25,0,0,4,0
AL,2020-02-26,0,0,4,0
AL,2020-02-27,1,0,5,0
AL,2020-02-28,1,0,5,0
AL,2020-02-29,1,0,6,0
AL,2020-03-01,1,0,6,0
AL,2020-03-02,1,0,6,0
AL,2020-03-03,1,0,6,0
AL,2020-03-04,1,0,6,0
AL,2020-03-05,1,0,6,0
AL,2020-03-06,1,0,6,0
AL,2020-03-07,2,0,6,0
AL,2020-03-08,4,0,7,0
AL,2020-03-09,4,0,7,0
AL,2020-03-10,5,0,7,0
AL,2020-03-11,6,0,8,0
AL,2020-03-12,8,0,8,0
AL,2020-03-13,14,0,9,0
AL,2020-03-14,16,0,11,0
AL,2020-03-15,25,0,13,1
AL,2020-03-16,30,0,15,2
AL,2020-03-17,38,0,18,3
AL,2020-03-18,43,0,23,6
AL,2020-03-19,52,0,25,7
AL,2020-03-20,61,0,36,7
AL,2020-03-21,71,1,44,9
AL,2020-03-22,83,4,56,9
AL,2020-03-23,103,5,72,9
AL,2020-03-24,129,6,85,13
AL,2020-03-25,160,7,104,15
AL,2020-03-26,177,11,116,15
AL,2020-03-27,216,13,126,20
AL,2020-03-28,233,14,136,24
AL,2020-03-29,250,16,146,26
AL,2020-03-30,267,17,155,29
AL,2020-03-31,289,18,162,30
AL,2020-04-01,302,19,168,32
AL,2020-04-02,327,22,172,32
AL,2020-04-03,342,23,175,32
AL,2020-04-04,368,24,179,33
AL,2020-04-05,369,24,180,33
AL,2020-04-06,384,26,185,33
AL,2020-04-07,396,29,187,35
AL,2020-04-08,407,32,189,35
AL,2020-04-09,409,34,189,36
AL,2020-04-10,413,35,190,36
AL,2020-04-11,418,36,190,36
AL,2020-04-12,418,38,192,36
AL,2020-04-13,419,38,194,36
AL,2020-04-14,427,38,200,36
AL,2020-04-15,436,41,201,37
AL,2020-04-16,446,41,202,37
AL,2020-04-17,454,43,203,37
AL,2020-04-18,456,43,204,37
AL,2020-04-19,458,43,204,37
AL,2020-04-20,463,44,207,37
AL,2020-04-21,468,44,208,37
AL,2020-04-22,471,44,209,37
AL,2020-04-23,473,45,210,37
AL,2020-04-24,475,46,211,37
AL,2020-04-25,476,46,211,37
AL,2020-04-26,476,47,211,37
AL,2020-04-27,479,47,212,37
AL,2020-04-28,479,48,213,37
AL,2020-04-29,480,48,213,37
AL,2020-04-30,483,49,214,37
AL,2020-05-01,484,49,214,37
AL,2020-05-02,484,49,214,37
AL,2020-05-03,484,50,214,37
AL,2020-05-04,484,50,214,37
AL,2020-05-05,484,50,215,37
AL,2020-05-06,486,50,215,38
AL,2020-05-07,487,50,216,38
AL,2020-05-08,489,50,219,38
AL,2020-05-09,494,50,219,38
AL,2020-05-10,497,50,219,38
AL,2020-05-11,499,50,220,38
AL,2020-05-12,499,50,220,38
AL,2020-05-13,502,50,220,38
AL,2020-05-14,504,50,220,38
AL,2020-05-15,506,50,220,38
AL,2020-05-16,506,50,220,38
AL,2020-05-17,507,50,221,38
AL,2020-05-18,507,50,221,38
AL,2020-05-19,507,50,221,38
AL,2020-05-20,508,50,222,38
AL,2020-05-21,508,50,222,39
AL,2020-05-22,509,50,223,39
AL,2020-05-23,510,50,224,39
AL,2020-05-24,511,51,224,39
AL,2020-05-25,511,51,224,39
AL,2020-05-26,512,51,224,39
AL,2020-05-27,514,51,224,39
AL,2020-05-28,517,51,226,39
AL,2020-05-29,517,51,226,39
AL,2020-05-30,519,52,227,39
AL,2020-05-31,521,52,227,39
AL,2020-06-01,525,52,227,39
AL,2020-06-02,526,52,229,39
AL,2020-06-03,530,52,230,39
