provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
TF,2020-01-23,0,0,7,0
TF,2020-01-24,0,0,7,0
TF,2020-01-25,0,0,7,0
TF,2020-01-26,0,0,7,0
TF,2020-01-27,0,0,7,0
TF,2020-01-28,0,0,7,0
TF,2020-01-29,0,0,8,0
TF,2020-01-30,0,0,10,0
TF,2020-01-31,1,0,10,0
TF,2020-02-01,1,0,10,0
TF,2020-02-02,1,0,10,0
TF,2020-02-03,1,0,10,0
TF,2020-02-04,1,0,10,0
TF,2020-02-05,1,0,10,0
TF,2020-02-06,1,0,10,0
TF,2020-02-07,1,0,10,0
TF,2020-02-08,1,0,10,0
TF,2020-02-09,1,0,10,0
TF,2020-02-10,1,0,10,0
TF,2020-02-11,1,0,10,0
TF,2020-02-12,1,0,10,0
TF,2020-02-13,1,0,10,0
TF,2020-02-14,1,0,10,0
TF,2020-02-15,1,0,10,0
TF,2020-02-16,1,0,13,1
TF,2020-02-17,1,0,14,1
TF,2020-02-18,1,0,14,1
TF,2020-02-19,1,0,14,1
TF,2020-02-20,1,0,14,1
TF,2020-02-21,1,0,15,1
TF,2020-02-22,1,0,16,1
TF,2020-02-23,1,0,17,1
TF,2020-02-24,1,0,17,1
TF,2020-02-25,2,0,19,1
TF,2020-02-26,2,0,22,1
TF,2020-02-27,5,0,22,1
TF,2020-02-28,6,0,23,2
TF,2020-02-29,7,0,24,2
TF,2020-03-01,7,0,25,2
TF,2020-03-02,7,0,26,2
TF,2020-03-03,8,0,28,2
TF,2020-03-04,8,0,29,2
TF,2020-03-05,10,0,30,2
TF,2020-03-06,14,0,34,3
TF,2020-03-07,16,0,35,3
TF,2020-03-08,17,0,36,3
TF,2020-03-09,18,0,40,3
TF,2020-03-10,25,0,44,4
TF,2020-03-11,36,0,47,5
TF,2020-03-12,49,0,57,8
TF,2020-03-13,64,0,75,13
TF,2020-03-14,79,0,83,15
TF,2020-03-15,93,1,91,18
TF,2020-03-16,120,1,106,20
TF,2020-03-17,147,2,117,23
TF,2020-03-18,194,2,133,29
TF,2020-03-19,224,4,157,33
TF,2020-03-20,274,6,173,35
TF,2020-03-21,336,6,199,37
TF,2020-03-22,389,6,217,40
TF,2020-03-23,459,10,238,43
TF,2020-03-24,554,14,266,50
TF,2020-03-25,611,20,287,54
TF,2020-03-26,710,27,320,60
TF,2020-03-27,773,34,344,64
TF,2020-03-28,833,39,399,70
TF,2020-03-29,890,42,416,77
TF,2020-03-30,948,44,437,82
TF,2020-03-31,1004,49,452,85
TF,2020-04-01,1042,54,466,88
TF,2020-04-02,1072,59,474,89
TF,2020-04-03,1101,62,492,89
TF,2020-04-04,1125,64,500,90
TF,2020-04-05,1160,65,514,93
TF,2020-04-06,1188,67,529,93
TF,2020-04-07,1249,67,542,93
TF,2020-04-08,1259,70,568,93
TF,2020-04-09,1275,71,580,95
TF,2020-04-10,1304,71,588,95
TF,2020-04-11,1334,73,593,95
TF,2020-04-12,1337,73,594,95
TF,2020-04-13,1353,76,598,96
TF,2020-04-14,1360,78,603,97
TF,2020-04-15,1378,80,604,97
TF,2020-04-16,1391,83,609,98
TF,2020-04-17,1407,86,612,100
TF,2020-04-18,1417,87,613,101
TF,2020-04-19,1425,87,618,102
TF,2020-04-20,1436,88,620,102
TF,2020-04-21,1445,90,625,102
TF,2020-04-22,1460,93,627,102
TF,2020-04-23,1467,96,628,102
TF,2020-04-24,1477,98,630,102
TF,2020-04-25,1488,98,630,102
TF,2020-04-26,1494,99,632,102
TF,2020-04-27,1501,100,636,103
TF,2020-04-28,1508,101,637,104
TF,2020-04-29,1509,102,640,104
TF,2020-04-30,1516,103,642,104
TF,2020-05-01,1522,105,642,104
TF,2020-05-02,1524,105,642,104
TF,2020-05-03,1529,106,642,104
TF,2020-05-04,1530,106,645,104
TF,2020-05-05,1533,107,645,104
TF,2020-05-06,1535,111,647,105
TF,2020-05-07,1544,111,652,106
TF,2020-05-08,1548,111,653,108
TF,2020-05-09,1551,111,655,108
TF,2020-05-10,1554,111,655,108
TF,2020-05-11,1554,111,655,108
TF,2020-05-12,1554,111,656,108
